Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000128849	CGNL1	0.2610654757141426	4.318476636145153	6.821431288202237e-05	0.013136877288543318	Up
ENSG00000132321	DRC11	0.2334538944463005	4.262023191657454	6.896106471281354e-05	0.013208116492809369	Up
ENSG00000187189	TSPYL4	-0.3328332909529692	-4.251811429941622	6.997926650041588e-05	0.013252960602504167	Down
ENSG00000077232	DNAJC10	-0.16087772912089315	-4.266862601984943	7.049593623094186e-05	0.013252960602504167	Down
ENSG00000132286	TIMM10B	-0.1481363534747735	-4.262665383970042	7.071927317222301e-05	0.013252960602504167	Down
ENSG00000146535	GNA12	0.3266295155504708	4.28487395708458	7.099794956034116e-05	0.013252960602504167	Up
ENSG00000136522	MRPL47	-0.0891488030081733	-4.244685014995807	7.129537571087626e-05	0.013252960602504167	Not significant
ENSG00000144635	DYNC1LI1	-0.17633568798009236	-4.245143873428615	7.202969169173844e-05	0.013252960602504167	Down
ENSG00000170745	KCNS3	-0.14742680082424475	-4.243125230620505	7.266960457920718e-05	0.013252960602504167	Down
ENSG00000137727	ARHGAP20	-0.2951357210369241	-4.236254304699033	7.31975134850761e-05	0.013252960602504167	Down
